CATEGORY	BIBTEXKEY	author	title	year	title_translation	publisher	address	pages	booktitle	booktitle_translation	editor	journal	volume	number	school	note	url
mastersthesis	pasquereau2010	Pasquereau, Jérémy	Formes spatiales des noms en karata: emplois spatiaux et non-spatiaux	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Université Lumière Lyon II	NA	NA
unpublished	pasquereaudraft2020	Pasquereau, Jérémy	Karata	2020	NA	De Gruyter Mouton	Berlin/New York	NA	Handbook of Caucasian Languages. Vol. 2. Nakh-Daghestanian	NA	Koryakov, Yury and Maisak, Timur	NA	NA	NA	NA	To appear	NA
unpublished	polinsky2015draft	Polinsky, Maria	Tsez Syntax: A Description	Draft, July 2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	ramazanov2010	Рамазанов, М.Р.	Агульско-русский словарь	2010	NA	Лотос	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	saidova1973	Саидова, Патимат А.	Годоберинский язык. Грамматический очерк, тексты, словарь	1973	Godoberi. Grammar, texts, dictionary	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	saidova2007	Саидова, Патимат А.	Закатальский диалект аварского языка	2007	The Zaqatala dialect of Avar	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	saidovaabusov2012	Саидова, П.А.и Абусов, М.Г.	Ботлихско-русский словарь	2012	Botlikh-Russian Dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	salimov2010	Салимов, Хангерей Саидович	Гагатлинский говор андийского языка	2010 (1968)	The Gagatli dialect of Andi	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	schulze1982	Schulze, Wolfgang	Die Sprache der Uden in Nord-Azerbajdžan	1982	NA	Otto Harrasowitz	Wiesbaden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	schulze2005	Schulze, Wolfgang	A functional grammar of Udi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	schulze2006khinalug	Schulze, Wolfgang	Khinalug	2016	NA	De Gruyter Mouton	Berlin/Boston	3605–3622	Word Formation	NA	NA	NA	NA	NA	NA	NA	NA
incollection	schulze2006lak	Schulze, Wolfgang	Lak	2016	NA	De Gruyter Mouton	Berlin/Boston	3622–3638	Word Formation	NA	NA	NA	NA	NA	NA	NA	NA
incollection	schulze2006udi	Schulze, Wolfgang	Udi	2016	NA	De Gruyter Mouton	Berlin/Boston	3564–3578	Word Formation	NA	NA	NA	NA	NA	NA	NA	NA
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.	Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Баку	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	sosenskaja1999	Сосенская, Татьяна Б.	Сравнительные конструкции	1999	Comparative constructions	Наследие	Москва	560--568	Элементы цахурского языка в типологическом освещении	Elements of the Tsakhur language in a typological perspective	Кибрик, Александр Е. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	sosenskaja1999num	Сосенская, Татьяна Б.	Числительное	1999	Comparative constructions	Наследие	Москва	152-180	Элементы цахурского языка в типологическом освещении	Elements of the Tsakhur language in a typological perspective	Кибрик, Александр Е. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	sosenskaja2001	Сосенская, Татьяна Б.	Сравнительные конструкции	2001	Comparative constructions	Наследие	Москва	408--424	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	sosenskajatatevosov1996	Sosenskaja, Tatjana and Tatevosov, Sergej	Comparative construction	1996	NA	Lincom Europa	Munich/Newcastle	167--169	Godoberi	NA	Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA
phdthesis	suleymanov1957	Сулейманов, Я. Г.	Грамматический очерк андийского языка (по данным говора с. Риквани)	1957	A grammar sketch of Andi (based on the data from the Rikvani dialect)	Институт языкознания РАН СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	sumbatovalander2014	Сумбатова, Нина Р. and Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014	NA	Языки славянской культуры	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	sumbatovamutalov2003	Sumbatova, Nina R. and Mutalov, Rasul O.	A Grammar of Icari Dargwa	2003	NA	Lincom Europa	Munich	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	tatevosov1996	Tatevosov, Sergei	Quantification	1996	NA	Lincom Europa	Munich/Newcastle	237-255	Godoberi	NA	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA
article	tatevosov2001	Tatevosov, Sergei	From resultatives to evidentials: Multiple uses of the perfect in Nakh-Daghestanian languages	2001	NA	NA	NA	443--464	NA	NA	NA	Journal of Pragmatics	33	3	NA	NA	NA
incollection	tatevosov2001gramtense	Татевосов, Сергей Г.	Аналитические глагольные формы	2001	Analytical verb forms	Наследие	Москва	105--115	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	tatevosov2007	Татевосов, Сергей Г.	Эвиденциальность и адмиратив в багвалинском языке	2007	Evidentiality and admirative in Bagvalal	Наука	Санкт-Петербург	351--397	Эвиденциальность в языках Европы и Азии: сборник статей памяти Натальи Андреевны Козинцевой	'Evidentiality in the languages of Europe and Asia: papers in honor of Natal''ja Andreevna Kozinceva'	Храковский, Виктор С.	NA	NA	NA	NA	NA	NA
book	temirbulatova2004	Темирбулатова, С. М.	Хайдакский диалект даргинского языка	2004	Khaidak dialect of Dargwa	Институт языка, литературы и искусства им. Г. Цадасы	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995	NA	Lincom	Munich	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	vandenberg2001	van den Berg, Helma	Dargi folktales. Oral stories from the Caucaus with an introduction to Dargi grammar	2001	NA	CNWS	Leiden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	verhees2018	Verhees, Samira	The perfect in Avar and Andi: Cross-linguistic variation among two closely related East Caucasian languages	2018	NA	John Benjamins	Amsterdam	261--280	Tense, aspect, modality and evidentiality: Cross-linguistic perspectives	NA	Ayoun, Dalila and Celle, Agnès and Lansari, Laure	NA	NA	NA	NA	NA	NA
unpublished	verheesnaccarato2019	Verhees, Samira and Naccarato, Chiara	Towards a tentative origin of animacy markers in Botlikh	2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	xanmagomedovshalbuzov2001	Ханмагомедов, Бейдуллах Г-.К. and Шалбузов, Ким Т.	Табасаранско-русский словарь	2001	Tabasaran-Russian dictionary	Наука	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	zhirkov1955	Жирков, Лев И.	Лакский язык	1965	Lak	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kalmykovasarueva1973	Калмыкова, Софья А. and Саруева, Мария Ф.	Грамматика ногайского языка	1973	Nogai grammar	Ставропольское книжное издательство	Черкесск	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов.	2014	NA	Academia	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	merdanova2004	Мерданова, Солмаз Р.	Морфология и грамматическая семантика агульского языка (на материале хлюкского говора)	2004	NA	РАН ИЯ	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	creisselsdraft2020	Creissels Denis	A sketch of Northern Akhvakh	Draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	xalilov2015	Халилов, Маджид Ш.	Словарь бежтинского языка	2015	A dictionary of the Bezhta language	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	mejlanova1984	Мейланова, Унеизат А.	Будухско-русский словарь	1984	Budukh-Russian dictionary	Наука	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	saidova2006	Саидова, Патимат А.	Годоберинско-русский словарь	2006	Godoberi-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	xalilovisakov2005	Халилов, Маджид Ш. and Исаков, Исак А.	Гинухско-русский словарь	2005	Hinuq-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	isakovxalilov2001	Исаков, Исак А. and Халилов, Маджид Ш.	Гунзибско-русский словарь	2001	Hunzib-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	ismailova2011	Исмаилова, Эминат И.	Русско-рутульский словарь	2011	Russian-Rutul dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	xalilov1999	Халилов, Маджид Ш.	Цезско-русский словарь	1999	Tsez-Russian dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	ibragimov1990	Ибрагимов Г. Х.	Цахурский язык	1990	Tsakhur language	Наука	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	ibragimovnurmamedov2010	Ибрагимов, Гарун Х. and Нурмамедов, Юнус М.	Цахурско-русский словарь	2010	Tsakhur-Russian dictionary	Дагестанский Государственный Педагогический Университет	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	talibovgadzhiev1966	Талибов, Букар Б. and Гаджиев, М. М.	Лезгинско-русский словарь	1966	Lezgian-Russian dictionary	Советская Энциклопедия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	naftaliev2016	Нафталиев, Мардахай Н.	Еврейско (джуури)-русский словарь	2016	Juhuri-Russian dictionary	СТМЭГИ	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	chumakinacorbett2008	Chumakina, Marina and Greville G. Corbett	Archi: the challenge of an extreme agreement system	2008	NA	Языки славянских культур	Москва	184--194	Фонетика и нефонетика. К 70-летию Сандро В. Кодзасова	NA	Архипов, Александр В. and др.	NA	NA	NA	NA	NA	NA
incollection	azaev2000	Азаев, Халил Г.	Ботлихский язык	2000	Botlikh	Восток	Москва/Махачкала	346--359	Языки Дагестана	Languages of Daghestan	Гамзатов, Гаджи Г.	NA	NA	NA	NA	NA	NA
incollection	gudava1967	Гудава, Того Е.	Ботлихский язык	1967	Botlikh	Наука	Москва	293--306	Языки народов СССР. Том 4. Иберийско-кавказские языки	Languages of the peoples of USSR. Volume 4. Ibero-caucasian languages	Бокарев, Евгений А. and Ломатидзе Кетеван	NA	NA	NA	NA	NA	NA
article	xalidova2017	Халидова, Рашидат Ш.	Лингвистический портрет ботлихского языка	2017	A linguistic portrait of the Botlikh language	NA	NA	77--81	NA	NA	NA	Вестник Академии наук Чеченской республики	34	1	NA	NA	NA
incollection	magomedbekova2001	Магомедбекова, Загидат М.	Ботлихский язык	2001	Botlikh	Academia	Москва	228--236	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. and др.	NA	NA	NA	NA	NA	NA
incollection	saidova2001	Саидова, Патимат А.	Ботлихский язык	2001	Botlikh	Academia	Москва	222--228	Языки Российской Федерации и соседних государств. Энциклопедия в трех томах	The languages of Russia and adjacent states. Encyclopaedia in three volumes	NA	NA	NA	NA	NA	NA	NA
incollection	alekseyev2016	Alekseyev, Mikhail	Botlikh	2016	NA	Mouton de Gruyter	Berlin/New York	3678--3685	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	NA	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
phdthesis	azaev1974	Азаев, Халил Г.	Лексика и словообразование ботлихского языка	1974	Lexicon and word formation in Botlikh	Дагестанский филиал АН СССР, Институт истории языка и литературы им. Г. Цадасы	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	mallaevaxajbullaeva2015	Маллаева, Зулайхат М. and Хайбуллаева, Мадина М.	Конвербы ботлихского языка, репрезентирующие нефинитную модель таксиса	2015	Botlikh converbs representing a non-finite taxis model	NA	NA	??	NA	NA	NA	Современные проблемы науки и образования	NA	2	NA	NA	NA
article	sulejmanova2013	Сулейманова, Джавгарат И.	Названия животных в ботлихском языке	2013	Animal names in Botlikh	NA	NA	195--198	NA	NA	NA	Вестник ВЭГУ	65	3	NA	NA	NA
book	karasaevmaciev1978	Карасаев, Айсаш Т. and Мациев, Ахмет Г.	Русско-чеченский словарь	1978	Russian-Chechen dictionary	Русский язык	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	bokarev1959tsez	Бокарёв, Евгений А.	Цезский язык	1959	Tsez	Академия	Москва	175--221	Цезские (дидойские) языки Дагестана	Tsezic (Didoic) languages of Daghestan	Бокарёв, Евгений А.	NA	NA	NA	NA	NA	NA
incollection	daraganmaisak2001	Дараган, Юлия В. and Майсак, Тимур А.	Частицы, союзы и транскатегориальные показатели	2001	Particles, conjunctions and transcategorical markers	Наследие	Москва	173--184	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	kozhukhar2019	Kozhukhar, Aleksandra	The self-pronoun in Mehweb	2019	NA	Language Science Press	Berlin	271--293	The Mehweb language. Essays on phonology, morphology and syntax	NA	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA
incollection	fedorova1996	Fedorova, Olga	Usage of nominal forms	1996	NA	Lincom Europa	Munich/Newcastle	76--91	Godoberi	NA	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA
incollection	sosenskaja1999post	Сосенская, Татьяна Б.	Послелог	1999	Postposition	Наследие	Москва	121--129	Элементы цахурского языка в типологическом освещении	Elements of the Tsakhur language in a typological perspective	Кибрик, Александр Е. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
book	dirr1906	Дирр, Адольф	Краткий грамматический очерк андийского языка с текстами,сборником андийских слов и русским к нему указателем.	1906	Brief outline of Andi language with a compilation of Andi words and Russian index	NA	Тифлис (Тбилиси)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	boeder2000	Boeder, Winfried	Evidentiality in Georgian	2000	NA	Mouton de Gruyter	Berlin/New York	275--328	Evidentials. Turkic, Iranian and neighbouring languages	NA	Johanson, Lars and Utas, Bo	NA	NA	NA	NA	NA	NA
article	ramattopadze2007	Ramat, Anna Giacalone and Topadze, Manana	The coding of evidentiality: a comparative look at Georgian and Italian.	2007	NA	NA	NA	7--38	NA	NA	NA	Rivista di Linguistica	19	1	NA	NA	NA
book	gudava1971	Гудава, Того Е.	Багвалинский язык. Резюме	1971	Bagvalal. Summary	Мецниереба	Тбилиси	198-242	Багвалинский язык. Грамматический анализ с текстами	Bagvalal. Grammatical analysis with texts	NA	NA	NA	NA	NA	NA	NA
book	bokarev1949	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка	1949	A sketch of Chamalal grammar	Издательство академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	charachidze1981	Charachidze, Georges	Grammaire de la langue avar	1981	A grammar of avar language	Jean-Favard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	charachidze1981	Charachidze, Georges	Grammaire de la langue avar	1981	A grammar of avar language	Jean-Favard	NA	NA	NA	NA	NA	NA	NA	NA	NA	Polina Smyr	22.07.2021
